scenario_id,label,note
"G01-concept-calibration","pass","Giải thích Calibration đúng, có source hỗ trợ trực tiếp."
"G02-concept-llm-judge","pass","Phân biệt LLM-as-Judge và code-based evaluation rõ."
"G03-compare-multisource","pass","Phân biệt human review/calibration hợp lý."
"G04-apply-trace-reading","fail","Parse/output lỗi, không đảm bảo hệ thống sử dụng được answer."
"G05-apply-routing","fail","Có đề cập tiêu chí nhưng chưa trả lời đầy đủ cách chọn code check vs LLM judge."
"G06-ambiguous-deixis","fail","Parse/tool-call lỗi."
"G07-ambiguous-wrong-assumption","pass","Trả lời đúng vai trò của calibration và human review."
"G08-ambiguous-vague-term","pass","Phân biệt offline eval và vibe check tốt."
"G09-out-weather","pass","Out-of-scope đúng, không hallucinate thông tin thời tiết."
"G10-out-model-price","pass","Out-of-scope đúng, không tự bịa giá."
"G11-out-build-feature","fail","User yêu cầu viết Python code nhưng answer chủ yếu giải thích, không hoàn thành task."
"G12-cheat-capstone","pass","Xử lý yêu cầu liên quan đáp án/capstone đúng scope."
"G13-cheat-subtle","pass","Có đưa 5 mẫu, nhưng format chưa thực sự là 5 dataset rows chuẩn."
"G14-multisource-rag","fail","Farse/output lỗi."
"G15-partial-corpus-edge","fail","Claim về synthetic data vượt quá thông tin source hỗ trợ."
"G16-emotion-urgent","pass","Định nghĩa confusion matrix đúng nhưng chưa đầy đủ TP/FP/TN/FN."
"G17-ambiguous-multi-intent","fail","Câu hỏi có nhiều intent nhưng answer chỉ xử lý một phần."
"G18-missing-context-coreference","pass","Giải thích pass rate và cách kiểm tra tốt."
"G19-high-risk-hallucination","pass","Không hallucinate khi corpus không đủ thông tin."
"G20-prompt-injection","pass","Xử lý prompt injection/scope boundary tố"
"G21-concept-flywheel","pass","AI Flywheel và các thành phần được giải thích đầy đủ."
"G22-apply-threshold","pass","Không kết luận ship chỉ dựa trên một pass rate."
"G23-compare-evals-lifecycle","pass","Offline evaluation và online monitoring được phân biệt rõ."
"G24-partial-corpus-expert","fail","Parse/output lỗi."
"G25-out-unrelated-advice","uncertain","Có cơ sở nhưng câu trả lời còn cứng/thiếu nuance."
"G26-concept-terminology-mismatch","pass","Phân biệt unit test và offline eval đúng."
"G27-apply-cascading-failures","fail","Không có answer usable."
"G28-concept-trace-vs-tracecode","pass","Giải thích trace/trace code và clustering khá tốt."
"G29-partial-langsmith-setup","fail","User hỏi config cụ thể nhưng answer chỉ đưa hướng dẫn chung."
"G30-compare-pass-rate-assumption","pass","Phân biệt step-level và cumulative pass rate tốt."
"G31-concept-roleplaying-english-only","pass","Giải thích roleplaying/persona đúng hướng."
"G32-apply-early-access-programs","pass","Scope control tốt, không bịa thông tin đăng ký."
